epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9809,1.87995,3.6056,1.8288,0.17468,0.15584,0.1067,0.05275,1.87785,4.06866,1.93513,0.000216157,0.000216157,0.000216157
2,77.6886,1.85699,2.26399,1.69337,0.24324,0.34364,0.24359,0.11627,1.97791,3.60778,1.94777,0.00043415,0.00043415,0.00043415
3,99.8471,1.80391,1.82214,1.66653,0.61712,0.21418,0.31817,0.1472,1.98883,2.91625,1.97486,0.00064774,0.00064774,0.00064774
4,123.248,1.77493,1.71726,1.67953,0.76022,0.33033,0.36278,0.16152,2.04994,2.36497,2.07983,0.00064719,0.00064719,0.00064719
5,146.347,1.74698,1.60024,1.63108,0.55175,0.40514,0.38408,0.17622,2.10997,2.1693,2.06857,0.000640587,0.000640587,0.000640587
6,170.05,1.73677,1.56288,1.6299,0.55664,0.40573,0.42422,0.19385,2.0126,1.93532,2.02622,0.000633983,0.000633983,0.000633983
7,191.02,1.72064,1.53442,1.61487,0.78513,0.39942,0.44705,0.20316,2.02691,1.97,1.97524,0.00062738,0.00062738,0.00062738
8,213.342,1.69934,1.46996,1.60105,0.69695,0.35074,0.38859,0.17395,2.01836,1.93241,1.97037,0.000620777,0.000620777,0.000620777
9,234.597,1.65433,1.40243,1.56954,0.75077,0.45622,0.48709,0.2261,1.97724,1.78258,2.00084,0.000614174,0.000614174,0.000614174
10,256.561,1.67202,1.4078,1.59019,0.57581,0.42345,0.44642,0.21691,1.95521,1.81622,1.91399,0.00060757,0.00060757,0.00060757
11,277.871,1.64827,1.36206,1.56905,0.59971,0.47202,0.49328,0.23471,1.9396,1.68125,1.94057,0.000600967,0.000600967,0.000600967
12,299.01,1.6554,1.35778,1.57789,0.77589,0.4216,0.4822,0.22634,1.87885,1.63682,1.90736,0.000594364,0.000594364,0.000594364
13,321.865,1.64759,1.33891,1.57574,0.61225,0.47422,0.50381,0.23523,1.91929,1.59936,1.92214,0.00058776,0.00058776,0.00058776
14,342.43,1.64669,1.30991,1.56183,0.67617,0.47491,0.51218,0.23547,1.91037,1.55485,1.88429,0.000581157,0.000581157,0.000581157
15,363.289,1.61956,1.30031,1.54864,0.71155,0.4663,0.51108,0.25146,1.88831,1.52025,1.87655,0.000574554,0.000574554,0.000574554
16,387.127,1.60237,1.25567,1.53544,0.64552,0.49124,0.5204,0.25045,1.83613,1.52423,1.86205,0.00056795,0.00056795,0.00056795
17,407.653,1.60092,1.26154,1.53971,0.59272,0.47397,0.49151,0.23368,1.90722,1.56063,1.88074,0.000561347,0.000561347,0.000561347
18,429.957,1.6032,1.23352,1.5294,0.7183,0.47333,0.52584,0.24981,1.87007,1.47102,1.87071,0.000554744,0.000554744,0.000554744
19,450.091,1.58861,1.198,1.5221,0.72074,0.49369,0.52708,0.25383,1.85162,1.45977,1.86561,0.000548141,0.000548141,0.000548141
20,469.957,1.59844,1.20192,1.53907,0.68317,0.46634,0.51581,0.24374,1.86672,1.46145,1.90383,0.000541537,0.000541537,0.000541537
21,492.217,1.57987,1.17761,1.51222,0.75382,0.48444,0.52558,0.24568,1.89674,1.44288,1.91082,0.000534934,0.000534934,0.000534934
22,512.578,1.56601,1.15573,1.51478,0.82253,0.4512,0.51142,0.24949,1.82108,1.39973,1.83968,0.000528331,0.000528331,0.000528331
23,533.329,1.56056,1.14544,1.51121,0.63233,0.49363,0.51213,0.24217,1.94386,1.47623,1.95853,0.000521727,0.000521727,0.000521727
24,554.967,1.54084,1.13234,1.50425,0.61896,0.48338,0.50646,0.24686,1.85143,1.35493,1.84382,0.000515124,0.000515124,0.000515124
